"","jobTitle","location","skill","count"
"1","Data Scientist","Melbourne","Python","1"
"2","Data Scientist","Melbourne","programming","0"
"3","Data Scientist","Melbourne","analytics","2"
"4","Data Scientist","Melbourne","mathematics","0"
"5","Data Scientist","Melbourne","machine learning","1"
"6","Data Scientist","Melbourne","team","2"
"7","Data Scientist","Melbourne","Cooperation","0"
"8","Data Scientist","Melbourne","statistics","0"
"9","Data Scientist","Melbourne","SQL","0"
"10","Data Scientist","Melbourne","communication","1"
"11","Data Scientist","Melbourne","big data","0"
"12","Data Scientist","Melbourne","design","0"
"13","Data Scientist","Melbourne","visualization","0"
"14","Data Scientist","Melbourne","Hadoop","1"
"15","Data Scientist","Melbourne","Java","0"
"16","Data Scientist","Melbourne","research","0"
"17","Data Scientist","Melbourne","creative","0"
"18","Data Scientist","Melbourne","MATLAB","0"
"19","Data Scientist","Melbourne","SAS","0"
"20","Data Scientist","Melbourne"," R ","0"
"21","Data Scientist","Melbourne","Modelling","0"
"22","Data Scientist","Melbourne","(C++)","106"
"23","Data Scientist","Melbourne","Phd","0"
"24","Data Scientist","Adelaide","Python","0"
"25","Data Scientist","Adelaide","programming","0"
"26","Data Scientist","Adelaide","analytics","3"
"27","Data Scientist","Adelaide","mathematics","1"
"28","Data Scientist","Adelaide","machine learning","0"
"29","Data Scientist","Adelaide","team","0"
"30","Data Scientist","Adelaide","Cooperation","0"
"31","Data Scientist","Adelaide","statistics","0"
"32","Data Scientist","Adelaide","SQL","0"
"33","Data Scientist","Adelaide","communication","4"
"34","Data Scientist","Adelaide","big data","0"
"35","Data Scientist","Adelaide","design","0"
"36","Data Scientist","Adelaide","visualization","0"
"37","Data Scientist","Adelaide","Hadoop","0"
"38","Data Scientist","Adelaide","Java","0"
"39","Data Scientist","Adelaide","research","2"
"40","Data Scientist","Adelaide","creative","1"
"41","Data Scientist","Adelaide","MATLAB","0"
"42","Data Scientist","Adelaide","SAS","0"
"43","Data Scientist","Adelaide"," R ","0"
"44","Data Scientist","Adelaide","Modelling","0"
"45","Data Scientist","Adelaide","(C++)","113"
"46","Data Scientist","Adelaide","Phd","0"
"47","Data Scientist | Brisbane Based","Brisbane","Python","2"
"48","Data Scientist | Brisbane Based","Brisbane","programming","0"
"49","Data Scientist | Brisbane Based","Brisbane","analytics","6"
"50","Data Scientist | Brisbane Based","Brisbane","mathematics","0"
"51","Data Scientist | Brisbane Based","Brisbane","machine learning","1"
"52","Data Scientist | Brisbane Based","Brisbane","team","3"
"53","Data Scientist | Brisbane Based","Brisbane","Cooperation","0"
"54","Data Scientist | Brisbane Based","Brisbane","statistics","0"
"55","Data Scientist | Brisbane Based","Brisbane","SQL","2"
"56","Data Scientist | Brisbane Based","Brisbane","communication","1"
"57","Data Scientist | Brisbane Based","Brisbane","big data","0"
"58","Data Scientist | Brisbane Based","Brisbane","design","0"
"59","Data Scientist | Brisbane Based","Brisbane","visualization","0"
"60","Data Scientist | Brisbane Based","Brisbane","Hadoop","0"
"61","Data Scientist | Brisbane Based","Brisbane","Java","0"
"62","Data Scientist | Brisbane Based","Brisbane","research","0"
"63","Data Scientist | Brisbane Based","Brisbane","creative","0"
"64","Data Scientist | Brisbane Based","Brisbane","MATLAB","0"
"65","Data Scientist | Brisbane Based","Brisbane","SAS","1"
"66","Data Scientist | Brisbane Based","Brisbane"," R ","0"
"67","Data Scientist | Brisbane Based","Brisbane","Modelling","0"
"68","Data Scientist | Brisbane Based","Brisbane","(C++)","110"
"69","Data Scientist | Brisbane Based","Brisbane","Phd","0"
"70","Senior Data Scientist - Python - Scikit - AI - Machine Learning -Top Tier Client","Sydney","Python","5"
"71","Senior Data Scientist - Python - Scikit - AI - Machine Learning -Top Tier Client","Sydney","programming","0"
"72","Senior Data Scientist - Python - Scikit - AI - Machine Learning -Top Tier Client","Sydney","analytics","2"
"73","Senior Data Scientist - Python - Scikit - AI - Machine Learning -Top Tier Client","Sydney","mathematics","0"
"74","Senior Data Scientist - Python - Scikit - AI - Machine Learning -Top Tier Client","Sydney","machine learning","0"
"75","Senior Data Scientist - Python - Scikit - AI - Machine Learning -Top Tier Client","Sydney","team","3"
"76","Senior Data Scientist - Python - Scikit - AI - Machine Learning -Top Tier Client","Sydney","Cooperation","0"
"77","Senior Data Scientist - Python - Scikit - AI - Machine Learning -Top Tier Client","Sydney","statistics","0"
"78","Senior Data Scientist - Python - Scikit - AI - Machine Learning -Top Tier Client","Sydney","SQL","0"
"79","Senior Data Scientist - Python - Scikit - AI - Machine Learning -Top Tier Client","Sydney","communication","1"
"80","Senior Data Scientist - Python - Scikit - AI - Machine Learning -Top Tier Client","Sydney","big data","0"
"81","Senior Data Scientist - Python - Scikit - AI - Machine Learning -Top Tier Client","Sydney","design","0"
"82","Senior Data Scientist - Python - Scikit - AI - Machine Learning -Top Tier Client","Sydney","visualization","0"
"83","Senior Data Scientist - Python - Scikit - AI - Machine Learning -Top Tier Client","Sydney","Hadoop","0"
"84","Senior Data Scientist - Python - Scikit - AI - Machine Learning -Top Tier Client","Sydney","Java","0"
"85","Senior Data Scientist - Python - Scikit - AI - Machine Learning -Top Tier Client","Sydney","research","0"
"86","Senior Data Scientist - Python - Scikit - AI - Machine Learning -Top Tier Client","Sydney","creative","0"
"87","Senior Data Scientist - Python - Scikit - AI - Machine Learning -Top Tier Client","Sydney","MATLAB","0"
"88","Senior Data Scientist - Python - Scikit - AI - Machine Learning -Top Tier Client","Sydney","SAS","0"
"89","Senior Data Scientist - Python - Scikit - AI - Machine Learning -Top Tier Client","Sydney"," R ","0"
"90","Senior Data Scientist - Python - Scikit - AI - Machine Learning -Top Tier Client","Sydney","Modelling","0"
"91","Senior Data Scientist - Python - Scikit - AI - Machine Learning -Top Tier Client","Sydney","(C++)","115"
"92","Senior Data Scientist - Python - Scikit - AI - Machine Learning -Top Tier Client","Sydney","Phd","0"
"93","Data Scientist | Digital Analytics ","Sydney","Python","2"
"94","Data Scientist | Digital Analytics ","Sydney","programming","0"
"95","Data Scientist | Digital Analytics ","Sydney","analytics","5"
"96","Data Scientist | Digital Analytics ","Sydney","mathematics","0"
"97","Data Scientist | Digital Analytics ","Sydney","machine learning","4"
"98","Data Scientist | Digital Analytics ","Sydney","team","5"
"99","Data Scientist | Digital Analytics ","Sydney","Cooperation","0"
"100","Data Scientist | Digital Analytics ","Sydney","statistics","2"
"101","Data Scientist | Digital Analytics ","Sydney","SQL","1"
"102","Data Scientist | Digital Analytics ","Sydney","communication","0"
"103","Data Scientist | Digital Analytics ","Sydney","big data","0"
"104","Data Scientist | Digital Analytics ","Sydney","design","2"
"105","Data Scientist | Digital Analytics ","Sydney","visualization","0"
"106","Data Scientist | Digital Analytics ","Sydney","Hadoop","0"
"107","Data Scientist | Digital Analytics ","Sydney","Java","0"
"108","Data Scientist | Digital Analytics ","Sydney","research","1"
"109","Data Scientist | Digital Analytics ","Sydney","creative","0"
"110","Data Scientist | Digital Analytics ","Sydney","MATLAB","0"
"111","Data Scientist | Digital Analytics ","Sydney","SAS","0"
"112","Data Scientist | Digital Analytics ","Sydney"," R ","1"
"113","Data Scientist | Digital Analytics ","Sydney","Modelling","0"
"114","Data Scientist | Digital Analytics ","Sydney","(C++)","109"
"115","Data Scientist | Digital Analytics ","Sydney","Phd","0"
"116","Senior Data Scientist","Sydney","Python","0"
"117","Senior Data Scientist","Sydney","programming","0"
"118","Senior Data Scientist","Sydney","analytics","4"
"119","Senior Data Scientist","Sydney","mathematics","0"
"120","Senior Data Scientist","Sydney","machine learning","1"
"121","Senior Data Scientist","Sydney","team","1"
"122","Senior Data Scientist","Sydney","Cooperation","0"
"123","Senior Data Scientist","Sydney","statistics","0"
"124","Senior Data Scientist","Sydney","SQL","0"
"125","Senior Data Scientist","Sydney","communication","1"
"126","Senior Data Scientist","Sydney","big data","0"
"127","Senior Data Scientist","Sydney","design","0"
"128","Senior Data Scientist","Sydney","visualization","0"
"129","Senior Data Scientist","Sydney","Hadoop","0"
"130","Senior Data Scientist","Sydney","Java","0"
"131","Senior Data Scientist","Sydney","research","0"
"132","Senior Data Scientist","Sydney","creative","4"
"133","Senior Data Scientist","Sydney","MATLAB","0"
"134","Senior Data Scientist","Sydney","SAS","0"
"135","Senior Data Scientist","Sydney"," R ","0"
"136","Senior Data Scientist","Sydney","Modelling","0"
"137","Senior Data Scientist","Sydney","(C++)","109"
"138","Senior Data Scientist","Sydney","Phd","0"
"139","Data Scientist with skill ODI and Cloudera Hadoop tools(Utilities)- Melbourne","Melbourne","Python","4"
"140","Data Scientist with skill ODI and Cloudera Hadoop tools(Utilities)- Melbourne","Melbourne","programming","0"
"141","Data Scientist with skill ODI and Cloudera Hadoop tools(Utilities)- Melbourne","Melbourne","analytics","5"
"142","Data Scientist with skill ODI and Cloudera Hadoop tools(Utilities)- Melbourne","Melbourne","mathematics","0"
"143","Data Scientist with skill ODI and Cloudera Hadoop tools(Utilities)- Melbourne","Melbourne","machine learning","0"
"144","Data Scientist with skill ODI and Cloudera Hadoop tools(Utilities)- Melbourne","Melbourne","team","1"
"145","Data Scientist with skill ODI and Cloudera Hadoop tools(Utilities)- Melbourne","Melbourne","Cooperation","0"
"146","Data Scientist with skill ODI and Cloudera Hadoop tools(Utilities)- Melbourne","Melbourne","statistics","0"
"147","Data Scientist with skill ODI and Cloudera Hadoop tools(Utilities)- Melbourne","Melbourne","SQL","0"
"148","Data Scientist with skill ODI and Cloudera Hadoop tools(Utilities)- Melbourne","Melbourne","communication","0"
"149","Data Scientist with skill ODI and Cloudera Hadoop tools(Utilities)- Melbourne","Melbourne","big data","0"
"150","Data Scientist with skill ODI and Cloudera Hadoop tools(Utilities)- Melbourne","Melbourne","design","0"
"151","Data Scientist with skill ODI and Cloudera Hadoop tools(Utilities)- Melbourne","Melbourne","visualization","0"
"152","Data Scientist with skill ODI and Cloudera Hadoop tools(Utilities)- Melbourne","Melbourne","Hadoop","11"
"153","Data Scientist with skill ODI and Cloudera Hadoop tools(Utilities)- Melbourne","Melbourne","Java","3"
"154","Data Scientist with skill ODI and Cloudera Hadoop tools(Utilities)- Melbourne","Melbourne","research","0"
"155","Data Scientist with skill ODI and Cloudera Hadoop tools(Utilities)- Melbourne","Melbourne","creative","0"
"156","Data Scientist with skill ODI and Cloudera Hadoop tools(Utilities)- Melbourne","Melbourne","MATLAB","0"
"157","Data Scientist with skill ODI and Cloudera Hadoop tools(Utilities)- Melbourne","Melbourne","SAS","0"
"158","Data Scientist with skill ODI and Cloudera Hadoop tools(Utilities)- Melbourne","Melbourne"," R ","1"
"159","Data Scientist with skill ODI and Cloudera Hadoop tools(Utilities)- Melbourne","Melbourne","Modelling","0"
"160","Data Scientist with skill ODI and Cloudera Hadoop tools(Utilities)- Melbourne","Melbourne","(C++)","119"
"161","Data Scientist with skill ODI and Cloudera Hadoop tools(Utilities)- Melbourne","Melbourne","Phd","0"
"162","Data Scientist | Sydney | Permanent | Broad Industry Alignment","Sydney","Python","2"
"163","Data Scientist | Sydney | Permanent | Broad Industry Alignment","Sydney","programming","0"
"164","Data Scientist | Sydney | Permanent | Broad Industry Alignment","Sydney","analytics","2"
"165","Data Scientist | Sydney | Permanent | Broad Industry Alignment","Sydney","mathematics","0"
"166","Data Scientist | Sydney | Permanent | Broad Industry Alignment","Sydney","machine learning","0"
"167","Data Scientist | Sydney | Permanent | Broad Industry Alignment","Sydney","team","1"
"168","Data Scientist | Sydney | Permanent | Broad Industry Alignment","Sydney","Cooperation","0"
"169","Data Scientist | Sydney | Permanent | Broad Industry Alignment","Sydney","statistics","0"
"170","Data Scientist | Sydney | Permanent | Broad Industry Alignment","Sydney","SQL","0"
"171","Data Scientist | Sydney | Permanent | Broad Industry Alignment","Sydney","communication","2"
"172","Data Scientist | Sydney | Permanent | Broad Industry Alignment","Sydney","big data","1"
"173","Data Scientist | Sydney | Permanent | Broad Industry Alignment","Sydney","design","0"
"174","Data Scientist | Sydney | Permanent | Broad Industry Alignment","Sydney","visualization","0"
"175","Data Scientist | Sydney | Permanent | Broad Industry Alignment","Sydney","Hadoop","1"
"176","Data Scientist | Sydney | Permanent | Broad Industry Alignment","Sydney","Java","0"
"177","Data Scientist | Sydney | Permanent | Broad Industry Alignment","Sydney","research","0"
"178","Data Scientist | Sydney | Permanent | Broad Industry Alignment","Sydney","creative","0"
"179","Data Scientist | Sydney | Permanent | Broad Industry Alignment","Sydney","MATLAB","0"
"180","Data Scientist | Sydney | Permanent | Broad Industry Alignment","Sydney","SAS","1"
"181","Data Scientist | Sydney | Permanent | Broad Industry Alignment","Sydney"," R ","1"
"182","Data Scientist | Sydney | Permanent | Broad Industry Alignment","Sydney","Modelling","0"
"183","Data Scientist | Sydney | Permanent | Broad Industry Alignment","Sydney","(C++)","110"
"184","Data Scientist | Sydney | Permanent | Broad Industry Alignment","Sydney","Phd","0"
"185","Lead Data Scientist (Customer Marketing)","Sydney","Python","4"
"186","Lead Data Scientist (Customer Marketing)","Sydney","programming","0"
